Id;From-User;To-User;Text
1659822584299667456;zifa #GoldenHour;;"Wts voc grab express diskon 95% maks. 10k, fee 3k, prefer dom jabodetabek
Detail di bawah ya
#zonauang #zonabu #zonajajan https://t.co/hb1R075Q8S"
1659817520327696389;wts voc grab gosend jasa isi kuisioner;;"Wts voc grab express diskon 95% maks. 10k, fee 3k, prefer dom jabodetabek. Fast respon chat wa di bio

Wts voc gosend https://t.co/jSnhsi97YG"
1659730371951616001;wts voc grab gosend jasa isi kuisioner;;"Wts voc grab express diskon 95% maks. 10k, fee 3k, prefer dom jabodetabek. Fast respon chat wa di bio

Wts voc gosend https://t.co/jSnhsi97YG"
1659621947146158092;simsalabim abrakadabpret;EkoGunaw112358;"@EkoGunaw112358 @enoughectic @tanyakanrl W klo mesen apa2 gofood, grab, shopee, lazada, toped apalagi diskon hunter
Namanya mesen sesuatu tuh seexcited itu krn pesanan kita mau nyampe
Saking excitednya sblm kurir dtg kita udh siap, standby depan pintu, stanby hp, klo Cod duit udh siap 
Kan memudahkan kurir jg"
1659563302136209411;Mein name ist;;"Sekarang itu keahlian Excel dibutuhin dimana-mana loh.. Jadi ayoo segera join Excel Class di Vocasia, biar kamu bisa mengoperasikan Excel dengan sat set dan kamu diincar banyak perusahaan. 

Yuk grab it fast disinii https://t.co/hT8BXeUyUe

Mumpung masih harga diskon nihh?? https://t.co/1ZHG9rW2Nq"
1659562013943803905;Mein name ist;;"Haloo gaiss pengen jago digital marketing? Tapi biasanya kelas Digital Marketing tuh mahal?? Oh tenangg di vocasia lagi ada diskon nih buat kamu yang pengen belajar Digital Marketing. 

Tinggal klik disini ajaa https://t.co/TBKFUnJLjv

Grab it fast!! Jangan sampe ketinggalan?? https://t.co/E75pmqOxV5"
1659509975163756545;Diskon Link;;Kode Promo Grab Hari Ini 19 Mei 2023, Diskon Kaget GrabFood 40 Persen, GrabMart Potongan Rp 50 ribu    https://t.co/oMkE67q6Cy https://t.co/ltPblsK6zA
1659479871192481792;Diskon Link;;Kode Promo Grab Hari Ini 19 Mei 2023, Diskon Kaget GrabFood 40 Persen, GrabMart Potongan Rp 50 ribu    https://t.co/XT1eZOMwFD https://t.co/81JxZDx61I
1659449850927144962;Diskon Link;;Kode Promo Grab Hari Ini 19 Mei 2023, Diskon Kaget GrabFood 40 Persen, GrabMart Potongan Rp 50 ribu    https://t.co/g4J1gVGGi2 https://t.co/hvHmbnvuyn
1659430108141330432;andah;;janco ini grab gofut shopfut gaada diskon kh
